Precinct,Registered
21055D101,775
21055D102,250
21055E101,618
21055E102,682
21055F101,813
21055F102,295
21057A101,698
21057A102,765
21057B101,394
21057B102,347
21057B103,484
21057C101,555
21057C102,648
21057C103,213
21057D101,756
21057D102,522
21059A101,659
21059A102,790
21059A103,1238
21059A104,1188
21059A105,965
21059A106,981
21059A107,677
21059A108,461
21059A109,909
21059A110,682
21059A111,1217
21059A112,791
21059A113,563
21059A114,1101
21059A115,792
21059A116,1030
21059A118,679
21059A119,1004
21059A120,929
21059A121,705
21059A122,394
21059A123,680
21059A124,931
21059A125,569
21059A126,792
21059A127,735
21059A128,626
21059A129,595
21059A130,762
21059A131,575
21059A132,866
21059A133,606
21059A134,781
21059A135,543
21059A136,752
21059A137,737
21059A138,1153
21059A139,1012
21059A140,676
21059A141,902
21059A142,1110
21059A143,703
21059A144,721
21059A145,487
21059A146,1220
21059A147,1027
21059A148,786
21059B101,991
21059B102,1673
21059B103,727
21059B104,978
21059C101,1497
21059C102,743
21059D102,763
21059D103,531
21059E101,768
21059E102,1001
21059E103,948
21059E104,234
21059F101,1111
21059F102,1363
21059F103,989
21059F104,761
21059G101,598
21059G102,924
21059G103,730
21059G104,877
21059G105,478
21059H101,540
21059H102,1208
21059H103,1039
21059H104,873
21059H105,917
21059H106,413
21059H107,827
21059H108,503
21059H109,692
21059H110,488
21059H111,1291
21059H112,1018
21059H113,627
21059H114,541
21059H115,1727
21059H116,262
21059H117,1717
21061A101,1605
21061B101,1455
21061C101,548
21061C102,879
21061D101,1454
21061E101,1538
21061F101,1419
21063A101,738
21063B101,639
21063C101,819
21063D101,959
21063E101,650
21063F101,642
21063G101,726
21065A101,336
21065A102,507
21065A103,438
21065A104,548
21065A105,469
21065A106,877
21065B102,911
21065B103,519
21065B104,416
21065B105,1203
21065B106,472
21065C103,1074
21065C104,868
21065C105,695
21065C106,1099
21067A101,534
21067A102,721
21067A103,696
21067A104,452
21067A106,539
21067A108,333
21067A109,989
21067A111,882
21067A113,815
21067A114,762
21067A115,973
21067A116,587
21067A117,813
21067A118,756
21067A120,686
21067A121,624
21067A123,757
21067A126,663
21067A128,926
21067A130,478
21067A131,599
21067A132,901
21067A133,769
21067A134,418
21067A135,926
21067A136,767
21067A138,954
21067A139,802
21067A140,721
21067A143,761
21067A144,879
21067A145,738
21067A146,998
21067A148,1077
21067A149,600
21067A150,988
21067A151,527
21067A152,1103
21067A155,1140
21067A156,539
21067A157,858
21067A158,866
21067A161,1088
21067A162,533
21067A163,1050
21067A164,476
21067A165,404
21067A166,777
21067A167,530
21067A168,800
21067A169,849
21067A170,564
21067A171,778
21067A172,822
21067A173,1033
21067A174,490
21067A175,248
21067A176,658
21067A177,764
21067A178,367
21067A179,622
21067A180,694
21067A181,887
21067A182,776
21067A183,736
21067A184,569
21067A185,1100
21067A187,1135
21067A188,873
21067A189,504
21067A190,767
21067A191,1214
21067A192,862
21067A193,922
21067A194,668
21067A195,592
21067A196,649
21067A197,715
21067A198,631
21067A199,738
21067A200,1068
21067A201,636
21067A203,13
21067A204,535
21067B101,674
21067B102,830
21067B103,775
21067B104,696
21067B105,700
21067B106,838
21067B108,657
21067B110,668
21067B111,887
21067B112,517
21067B113,905
21067B114,602
21067B117,830
21067B118,748
21067B119,544
21067B120,386
21067B121,794
21067B123,710
21067B125,799
21067B127,960
21067B128,557
21067B129,636
21067B130,1026
21067B132,668
21067B133,875
21067B135,1107
21067B137,680
21067B138,726
21067B139,729
21067B140,813
21067B141,689
21067B142,460
21067B143,773
21067B146,978
21067B147,783
21067B150,684
21067B151,535
21067B152,837
21067B154,554
21067B155,922
21067B156,726
21067B157,695
21067B158,869
21067B159,713
21067B163,870
21067B164,530
21067B165,1140
21067B166,667
21067B167,546
21067B168,733
21067B169,482
21067B170,583
21067B172,484
21067B174,645
21067B179,956
21067B181,1148
21067B182,381
