Precinct,race,Registered,Dem,GOP,Ind,d_pct,agg_d_pct,good_precinct,turnout
21079B103,house071,503,96,112,0,0.46153846153846156,0.35182416267942584,TRUE,0.4135188866799205
21079C102,house071,1399,228,527,0,0.3019867549668874,0.35182416267942584,FALSE,0.5396711937097927
21079C103,house071,1215,240,448,0,0.3488372093023256,0.35182416267942584,FALSE,0.5662551440329218
21079D101,house071,845,133,364,0,0.2676056338028169,0.35182416267942584,FALSE,0.5881656804733728
21079D102,house071,384,81,147,0,0.35526315789473684,0.35182416267942584,TRUE,0.59375
21079D103,house071,764,121,198,0,0.3793103448275862,0.35182416267942584,TRUE,0.4175392670157068
21079D104,house071,707,148,293,0,0.3356009070294785,0.35182416267942584,FALSE,0.6237623762376238
21079E101,house071,1131,217,438,0,0.33129770992366414,0.35182416267942584,FALSE,0.579133510167993
21079E103,house071,1215,179,482,0,0.2708018154311649,0.35182416267942584,FALSE,0.5440329218106996
21085A102,house018,720,114,201,0,0.3619047619047619,0.3397946296194608,TRUE,0.4375
21085A103,house018,1588,305,550,0,0.3567251461988304,0.3397946296194608,TRUE,0.5384130982367759
21085A104,house018,303,46,141,0,0.24598930481283424,0.3397946296194608,FALSE,0.6171617161716172
21085B101,house018,1070,159,416,0,0.27652173913043476,0.3397946296194608,FALSE,0.5373831775700935
21085B102,house018,392,43,139,0,0.23626373626373626,0.3397946296194608,FALSE,0.4642857142857143
21085B103,house018,382,82,140,0,0.36936936936936937,0.3397946296194608,TRUE,0.581151832460733
21085B104,house018,293,70,104,0,0.40229885057471265,0.3397946296194608,TRUE,0.5938566552901023
21085B105,house018,1004,194,409,0,0.32172470978441126,0.3397946296194608,FALSE,0.600597609561753
21085C101,house018,423,71,163,0,0.3034188034188034,0.3397946296194608,FALSE,0.5531914893617021
21085C102,house018,1141,199,445,0,0.3090062111801242,0.3397946296194608,FALSE,0.5644171779141104
21085C103,house018,1713,283,505,0,0.35913705583756345,0.3397946296194608,TRUE,0.46001167542323407
21085D101,house018,1198,261,409,0,0.3895522388059702,0.3397946296194608,TRUE,0.5592654424040067
21085D102,house018,1126,196,486,0,0.2873900293255132,0.3397946296194608,FALSE,0.605683836589698
21085D103,house018,543,78,271,0,0.22349570200573066,0.3397946296194608,FALSE,0.6427255985267035
21085E101,house018,683,122,265,0,0.3152454780361757,0.3397946296194608,FALSE,0.5666178623718887
21085E102,house018,1408,262,475,0,0.35549525101763907,0.3397946296194608,TRUE,0.5234375
21085E103,house018,337,34,167,0,0.1691542288557214,0.3397946296194608,FALSE,0.5964391691394659
21085E104,house018,571,82,209,0,0.281786941580756,0.3397946296194608,FALSE,0.5096322241681261
21085F101,house018,1038,142,276,0,0.3397129186602871,0.3397946296194608,FALSE,0.4026974951830443
21085F103,house018,1252,201,518,0,0.2795549374130737,0.3397946296194608,FALSE,0.5742811501597445
